"Estacion","Fecha inicial","Fecha final","VViento","O3","DViento","PLiquida","HAire10","CO","NO2","P","PM2.5","SO2","PM10","RGlobal","TAire10"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-20","","0.97916667","31.35","181.95652174","0.0125","84.70833333","790.31666667","8.19130435","590.75","10.97083333","1.48333333","21.6875","138.16666667","17.03333333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-19","","0.75833333","26.72173913","173.4375","0.09583333","81.375","977.54347826","13.86666667","590.1625","11.29583333","1.9","27.64166667","165.125","18.7625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-18","","1.05","39.25","158.57142857","0.0","82.83333333","837.39583333","13.87368421","590.2125","9.92916667","1.34","21.94583333","214.0","18.2375"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-17","","0.40416667","24.0625","204.45652174","0.25416667","88.16666667","874.80416667","13.43809524","590.63333333","11.25833333","1.35","23.07916667","103.875","16.80833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-16","","0.95833333","46.15416667","143.4375","0.12708333","84.0","672.86666667","7.41538462","591.28333333","8.92916667","1.1","16.88333333","239.08333333","17.75833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-15","","1.1173913","48.39130435","164.65909091","0.01304348","81.82608696","725.33478261","10.75","591.35416667","10.55652174","1.2","18.72608696","279.52173913","18.46086957"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-14","","0.825","51.74166667","97.5","0.075","84.41666667","648.49166667","7.43333333","591.30416667","11.09583333","1.325","17.9625","202.25","18.32916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-13","","0.7875","47.07916667","153.75","0.29166667","82.25","731.04166667","13.32857143","590.55","9.85","1.5125","19.8","181.33333333","18.25"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-12","","0.99583333","40.98333333","195.0","0.05833333","80.16666667","665.18333333","10.93125","590.40833333","9.6875","1.2","19.65833333","263.375","18.6375"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-11","","0.66666667","34.52916667","195.9375","0.04166667","85.25","735.675","10.545","590.4625","12.06666667","1.2","22.925","138.29166667","18.02916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-10","","0.69166667","57.19583333","105.9375","0.0","80.04166667","619.0375","12.25","590.80416667","7.62916667","1.1","16.92916667","145.29166667","18.7375"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-09","","0.74","36.88","125.1","0.1316","85.48","629.416","7.11875","591.05833333","8.112","1.23333333","15.272","195.16","18.748"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-08","","0.94782609","41.73913043","210.68181818","0.16521739","87.73913043","714.4826087","7.73684211","591.30833333","8.66086957","1.46","15.48695652","117.7826087","17.16956522"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-07","","0.825","43.75833333","175.3125","1.00833333","82.95833333","674.96666667","9.29473684","591.17916667","9.34583333","1.14","17.09583333","257.125","18.47916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-06","","0.43333333","34.425","169.77272727","0.22083333","85.83333333","701.94166667","19.76666667","591.8375","8.53333333","1.23333333","17.55833333","163.41666667","17.4625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-05","","0.76666667","24.71304348","196.36363636","0.10833333","85.66666667","664.75217391","10.10714286","591.53333333","9.64782609","1.275","20.70434783","186.45833333","17.7625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-04","","0.3625","35.725","209.0625","0.78625","90.79166667","584.50416667","14.64090909","590.85416667","6.45833333","","14.40416667","75.08333333","16.98333333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-03","","0.75416667","51.24166667","214.6875","0.39166667","84.70833333","528.65416667","8.02083333","589.87083333","7.22083333","1.26666667","14.47916667","146.45833333","18.76666667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-02","","0.932","58.128","114.3","0.1924","82.28","500.392","6.71","589.92916667","5.66","1.5","13.04","247.52","19.256"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-01","","1.08333333","34.79583333","141.5625","0.83333333","81.20833333","533.38333333","6.82857143","590.67916667","5.225","1.1","11.87916667","249.79166667","18.82916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-30","","1.34583333","24.49166667","174.375","0.0125","77.25","684.375","12.85789474","590.45833333","12.49166667","1.42857143","24.775","279.29166667","19.65416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-29","","1.14583333","24.66666667","159.375","0.0","80.66666667","529.06666667","12.285","590.16666667","8.85833333","1.2","21.69583333","213.70833333","18.67916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-28","","0.94166667","22.69583333","136.875","0.0","80.0","490.3","8.34761905","590.125","8.99166667","1.2","19.57083333","189.20833333","18.50416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-27","","0.44583333","14.8","132.06521739","0.0","81.66666667","595.52083333","10.04166667","590.86666667","11.75833333","1.2625","24.675","151.5","18.2"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-26","","0.72916667","16.55833333","135.9375","0.01041667","81.45833333","525.30416667","11.09473684","591.4375","10.19583333","1.36666667","19.675","196.29166667","18.79166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-25","","1.36666667","21.37916667","174.375","0.10583333","80.125","508.33333333","12.53333333","590.92083333","8.87083333","1.13333333","19.0375","230.5","19.37083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-24","","0.4","53.95217391","205.3125","0.04583333","81.83333333","621.8","15.98823529","590.35","9.56666667","2.425","18.48333333","150.25","18.53333333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-23","","1.0","58.89583333","121.875","0.0","77.58333333","556.24166667","10.88333333","589.8625","8.91666667","1.46666667","19.825","264.70833333","18.73333333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-22","","1.31666667","58.39583333","165.0","0.11666667","77.20833333","437.46666667","8.8","590.08333333","14.0125","1.35714286","29.15","252.5","19.3125"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-21","","1.32916667","44.95652174","183.75","0.0","75.79166667","538.6173913","16.26190476","590.67083333","15.175","1.83333333","31.70833333","273.83333333","17.99166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-20","","1.39583333","49.56666667","194.0625","0.0","75.70833333","590.60833333","13.195","590.76666667","14.00434783","1.69090909","30.36521739","234.54166667","17.50833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-19","","1.45833333","59.775","155.625","0.08416667","75.25","517.675","10.06190476","590.69166667","12.3875","1.38","25.3375","270.70833333","18.69166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-18","","1.40833333","42.90454545","180.0","0.0","78.875","578.11428571","15.89047619","590.69565217","11.68636364","1.4","21.42727273","272.04166667","17.70869565"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-17","","0.92916667","56.64583333","154.6875","0.4375","83.125","555.14166667","10.75384615","591.07916667","10.47083333","1.2","18.35","200.5","18.20833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-16","","1.03333333","43.37083333","168.75","0.0","74.70833333","674.67916667","12.735","590.84166667","13.5375","1.48421053","28.80833333","283.45833333","18.45416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-15","","1.42916667","46.7125","184.6875","0.0","75.66666667","559.56666667","11.6047619","590.8625","9.94166667","1.29","22.67083333","245.125","18.82083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-14","","1.35","49.3625","174.375","0.16666667","81.33333333","518.6625","15.82307692","590.72083333","8.04166667","1.4125","17.74583333","266.08333333","18.54166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-13","","1.25416667","52.75416667","150.0","0.26416667","82.75","476.60416667","8.44166667","590.8","9.675","1.35","18.71666667","265.70833333","18.52916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-12","","1.1625","51.0","137.8125","0.01041667","78.0","423.93333333","6.62307692","590.96666667","6.87083333","1.28571429","14.475","273.25","19.17083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-11","","1.4","61.33333333","143.4375","1.26958333","79.04166667","393.59583333","6.3","591.24583333","4.46666667","1.13333333","10.7","291.45833333","18.99166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-10","","1.21666667","55.05416667","156.5625","0.775","82.75","415.01666667","5.05833333","591.24166667","14.59583333","1.1","30.99166667","220.45833333","18.53333333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-09","","1.5375","58.16666667","151.875","0.02083333","79.20833333","435.12916667","7.21333333","590.39166667","22.1","1.5375","45.7125","285.41666667","18.925"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-08","","1.23333333","51.94583333","155.625","0.0125","81.625","308.31304348","9.75882353","590.53333333","17.4125","1.30769231","36.09166667","229.625","18.3625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-07","","1.02916667","42.87826087","182.8125","0.0","75.04166667","713.02777778","16.065","590.61666667","10.175","1.58333333","21.925","229.91666667","18.34166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-06","","1.5125","49.64166667","201.5625","0.0","73.29166667","904.07083333","17.72083333","591.0875","12.77916667","1.84","26.6375","284.0","18.62083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-05","","1.55","50.625","164.34782609","0.0","79.0","841.96666667","11.875","591.27083333","11.78333333","1.56666667","24.1","287.66666667","18.55"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-04","","1.21666667","62.6125","129.88636364","0.64583333","81.33333333","794.2125","14.70833333","591.28333333","19.225","1.1","35.625","294.5","17.6125"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-03","","1.09583333","42.87272727","133.97727273","0.1375","79.76190476","946.84583333","22.65238095","590.93478261","10.90909091","1.77142857","19.69545455","288.36363636","17.11304348"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-02","","0.41666667","36.7625","206.78571429","0.23333333","82.52380952","1094.7","27.275","590.9625","16.41666667","1.70769231","30.975","97.90909091","16.9"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-09-01","","1.35","45.12916667","129.375","0.64583333","75.75","1030.42916667","22.7","591.175","18.85416667","1.53333333","38.51666667","276.625","18.41666667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-31","","0.825","39.55","158.4375","0.0","73.58333333","1000.59583333","23.19583333","590.84166667","15.1625","1.62142857","33.525","256.41666667","18.46666667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-30","","0.72916667","51.30416667","163.125","0.09708333","77.41666667","848.24166667","13.32916667","591.08333333","11.52083333","1.36666667","22.89166667","250.125","19.55833333"
