"Estacion","Fecha inicial","Fecha final","VViento","O3","DViento","PLiquida","HAire10","CO","NO2","P","PM2.5","SO2","PM10","RGlobal","TAire10"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-31","","0.94583333","42.12916667","160.3125","0.05833333","71.54166667","491.46666667","18.12083333","592.8625","7.29583333","1.425","13.64166667","170.375","17.65416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-30","","1.32083333","44.51818182","210.9375","0.1","70.45833333","389.6875","14.70666667","593.3375","10.19583333","1.15","18.675","178.79166667","17.70416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-29","","1.35833333","42.57916667","177.1875","0.0","66.5","812.32608696","12.23684211","593.4875","11.02608696","1.975","20.89130435","209.04166667","18.4125"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-28","","1.32083333","30.4125","172.5","0.0","69.25","858.94166667","11.55652174","593.37916667","8.61666667","1.23333333","17.62083333","178.375","18.37916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-27","","1.05416667","31.95","122.8125","0.025","73.66666667","840.0625","8.03913043","593.08333333","6.2125","1.1","11.36666667","148.04166667","18.6625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-26","","1.1875","41.64583333","148.125","0.46666667","68.04166667","787.48333333","8.175","593.50833333","7.0625","","13.42083333","196.16666667","19.29166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-25","","1.44583333","40.5","137.8125","0.00833333","64.41666667","870.77083333","10.84166667","593.50833333","7.55833333","1.36666667","17.98333333","283.91666667","19.17083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-24","","1.35","35.54583333","142.734375","0.18947368","64.0","805.22083333","10.34347826","593.33043478","6.36666667","1.175","13.42083333","269.89473684","18.02916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-23","","1.50833333","41.02083333","224.0625","0.275","54.45833333","736.99583333","7.01","593.9375","4.49583333","","9.96666667","171.70833333","18.5625"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-22","","1.58333333","39.3","182.8125","0.04166667","56.04166667","750.80416667","8.56086957","594.075","5.57916667","1.1","11.7375","227.79166667","17.95416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-21","","0.92083333","39.29583333","115.27777778","0.0","81.1125","643.27916667","11.52083333","593.40416667","8.07083333","1.3","14.55833333","229.33333333","17.35"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-20","","2.3375","54.4625","","0.0","85.6875","436.87916667","8.41764706","593.34166667","7.1875","","13.00833333","276.375","17.59583333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-19","","2.2875","56.0875","167.85714286","0.0","81.525","427.65416667","16.52727273","593.2875","11.13333333","1.2","19.51666667","232.875","18.0125"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-18","","2.35833333","47.7875","131.35789474","0.0","79.75","333.7125","11.26363636","593.50833333","13.27916667","1.325","24.44583333","225.08333333","19.25"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-17","","2.04583333","44.6125","","0.0","81.62916667","322.40416667","12.6375","593.62083333","14.1125","","27.38333333","171.70833333","18.71666667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-16","","2.20416667","36.0875","193.25","0.0","84.09166667","369.4","14.26923077","594.3173913","12.22083333","1.3875","22.59583333","227.79166667","17.55416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-15","","1.70416667","32.49545455","187.125","0.025","73.8","302.13181818","11.57222222","594.775","12.2","1.74285714","23.1","202.875","18.35416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-14","","1.74166667","49.47083333","219.375","0.0","68.95833333","245.8173913","9.20555556","594.99583333","8.5375","1.79583333","16.65416667","203.08333333","18.81666667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2024-10-13","","1.76666667","49.92083333","219.375","0.01666667","69.91666667","259.66086957","11.82631579","594.72916667","7.60416667","1.81818182","15.73333333","272.79166667","18.8625"
